,넘버 제목,배우,앨범,가사,정제
23,빠바밤,캐리와 친구들,빠바밤 (캐리TV '러브콘서트 2024 타임캡슐' 수록곡),"손 머리 위로 빠바바바밤
왼쪽 오른쪽 빠바바바밤
신나게 흔들흔들 랄랄랄랄라
다 같이 춤추자 빠바바바밤

한 발짝 뒤로 빠바바바밤
왼쪽 오른쪽 빠바바바밤
하나둘 셋 하면 준비하시고
더 높이 하늘로 jump jump jump jump

신나게 춤추자
우리 같이 놀자
하고 싶은 대로
빠바바바 바바밤

신나게 춤추자
우리 같이 놀자
하고 싶은 대로
빠바바바 바바밤

하나, 둘, 셋, 예!

빱빠빠 빠밤 빠 빠빠 빠바바밤 빱빠빠 빠밤
jump jump jump jump
빱빠빠 빠밤 빠 빠빠 빠바바밤 빱빠빠 빠밤
jump jump jump jump

손 머리 위로 빠바바바밤
왼쪽 오른쪽 빠바바바밤
신나게 흔들흔들 랄랄랄랄라
다 같이 춤추자 빠바바바밤

한 발짝 뒤로 빠바바바밤
왼쪽 오른쪽 빠바바바밤
하나둘 셋 하면 준비하시고
더 높이 하늘로 jump jump jump jump

신나게 춤추자
우리 같이 놀자
하고 싶은 대로
빠바바바 바바밤

신나게 춤추자
우리 같이 놀자
하고 싶은 대로
빠바바바 바바밤

하나, 둘, 셋, 예!

빱빠빠 빠밤 빠 빠빠 빠바바밤 빱빠빠 빠밤
jump jump jump jump
빱빠빠 빠밤 빠 빠빠 빠바바밤 빱빠빠 빠밤
jump jump jump jump","['머리', '빠바', '왼쪽', '오른쪽', '빠바', '신나', '흔들흔들', '랄랄랄랄', '춤추', '빠바', '발짝', '빠바', '왼쪽', '오른쪽', '빠바', '하면', '준비', '높이', '하늘', 'jump', 'jump', 'jump', 'jump', '신나', '춤추', '대로', '빠바', '신나', '춤추', '대로', '빠바', '빱빠빠', '빠밤', '빠빠', '빠바', '빱빠빠', '빠밤', 'jump', 'jump', 'jump', 'jump', '빱빠빠', '빠밤', '빠빠', '빠바', '빱빠빠', '빠밤', 'jump', 'jump', 'jump', 'jump', '머리', '빠바', '왼쪽', '오른쪽', '빠바', '신나', '흔들흔들', '랄랄랄랄', '춤추', '빠바', '발짝', '빠바', '왼쪽', '오른쪽', '빠바', '하면', '준비', '높이', '하늘', 'jump', 'jump', 'jump', 'jump', '신나', '춤추', '대로', '빠바', '신나', '춤추', '대로', '빠바', '빱빠빠', '빠밤', '빠빠', '빠바', '빱빠빠', '빠밤', 'jump', 'jump', 'jump', 'jump', '빱빠빠', '빠밤', '빠빠', '빠바', '빱빠빠', '빠밤', 'jump', 'jump', 'jump', 'jump']"
24,블루문 특급 Part.1,한상훈,뮤지컬 블루문특급 2023 LIVE,"워오오오~ 워오오오~ 워오오오~
워오오오~ 워오오오~ 워오오오~ 따라 다라단! 이제 시작해
세상 뒤편의 이야기
(뒤편의 이야기)
세상 뒤편의 이야기
(뒤편의 이야기)
넌 들어본 적 있는가? 세상에 떠도는 음모들
지구 뒤편의 이야기
(뒤편의 이야기)
지구 뒤편의 이야기
(뒤편의 이야기)
상상해본적 있는가? 어쩌면 한 번 즈음 들어봤을걸?

정체도 알 수 없고
출처도 알 수 없는
하지만 들어봤던 소문, 괴담, 루머, 썰
어디까지 진실이고 어디까지 가짜일까 이젠 모두 날 따라와 다 말해줄게!
블루문 특급 숨겨진 이야기 같이 가볼까? 자 모두 따라와
블루문 특급 괴상한 이야기 놀라게 될걸? 따라 다라단! 이제 시작해
특급열차처럼 달려갈 단 하룻밤에 사건!
블루문 특급에 탑승하신 여러분 환영합니다
오늘 일어날 일은 신비로운 해프닝
우리가 전혀 몰랐던, 어쩌면 전혀 알 수 없던 세상 뒤편의 이야기!

정체도 알 수 없고
출처도 알 수 없는
하지만 들어봤던 지구! 종말! 화성! 침공!

어디까지 진실이고
어디까지 가짜일까
교묘하게 숨긴비밀 이젠말해 줄게

블루문 특급 숨겨진 이야기 같이 가볼까? 자 모두 따라와
블루문 특급 괴상한 이야기 놀라게 될걸? 따라 다라단! 이제 시작해

워오오오~ 워오오오~ 워오오오~
워오오오~ 워오오오~ 워오오오~ 따라 다라단! 이제 시작해","['따르', '다라', '이제', '시작하', '세상', '뒤편', '이야기', '뒤편', '이야기', '세상', '뒤편', '이야기', '뒤편', '이야기', '들어보', '는가', '세상', '떠돌', '음모', '지구', '뒤편', '이야기', '뒤편', '이야기', '지구', '뒤편', '이야기', '뒤편', '이야기', '상상', '본적', '는가', '어쩌면', '즈음', '들어보', '을걸', '정체', '출처', '하지', '들어보', '소문', '괴담', '진실', '가짜', 'ㄹ까', '따라오', '말하', 'ㄹ게', '블루', '특급', '숨기', '이야기', '가보', 'ㄹ까', '따라오', '특급', '상한', '이야기', '놀라', 'ㄹ걸', '따르', '다라', '이제', '시작하', '특급', '열차', '처럼', '달려가', '하룻밤', '사건', '블루', '특급', '탑승', '환영', 'ㅂ니다', '오늘', '일어나', '신비', '해프닝', '전혀', '몰르', '어쩌면', '전혀', '세상', '뒤편', '이야기', '정체', '출처', '하지', '들어보', '지구', '종말', '화성', '침공', '진실', '가짜', 'ㄹ까', '교묘', '숨기', '비밀', '말하', 'ㄹ게', '블루', '특급', '숨기', '이야기', '가보', 'ㄹ까', '따라오', '특급', '상한', '이야기', '놀라', 'ㄹ걸', '따르', '다라', '이제', '시작하', '따르', '다라', '이제', '시작하']"
25,서로를 꼭 끌어안은 우리 두 소년 (We Two Boy Together Clinging),마이클 리 (MICHAEL K. LEE),13 후르츠케이크 Original Sound Track,"We two boys together clinging,
One the other never leaving,
Up and down the roads going—
North and South excursions making,

We two boys power enjoying—
elbows stretching— fingers clutching,

Armed and fearless—
eating, drinking, sleeping, loving
No less than ourselves owning—
sailing, soldiering, thieving, threatening

Misers, menials, priests alarming—
ir breathing, water drinking,
on the turf or the sea-beach dancing,

Cities wrenching, ease scorning
statutes mocking, feebleness chasing,
Fulfilling our foray.","['We', 'two', 'boys', 'together', 'clinging', 'One', 'the', 'other', 'never', 'leaving', 'Up', 'and', 'down', 'the', 'roads', 'going', 'North', 'and', 'South', 'excursions', 'making', 'We', 'two', 'boys', 'power', 'enjoying', 'elbows', 'stretching', 'fingers', 'clutching', 'Armed', 'and', 'fearless', 'eating', 'drinking', 'sleeping', 'loving', 'No', 'less', 'than', 'ourselves', 'owning', 'sailing', 'soldiering', 'thieving', 'threatening', 'Misers', 'menials', 'priests', 'alarming', 'ir', 'breathing', 'water', 'drinking', 'on', 'the', 'turf', 'or', 'the', 'sea-beach', 'dancing', 'Cities', 'wrenching', 'ease', 'scorning', 'statutes', 'mocking', 'feebleness', 'chasing', 'Fulfilling', 'our', 'foray']"
26,도비는 자유를 찾아,안지은,도비를 찾아서,"그만해 하지마 뛰지마 짖지마
더 이상 듣기 싫어졌어

산책도 안돼 간식도 안돼
침대도 투정도 안돼

더 이상 듣지 않을거야
이젠 내 맘대로 살거야
갑갑한 목줄 벗어던지고
당당히 뚜벅뚜벅~

그만해 하지마 뛰지마 짖지마
더 이상 듣기 싫어졌어

내가 할 수 있는 건
손. 돌아. 앉아. 기다려. 엎드려

더 이상 듣지 않을거야
이젠 내 맘대로 살거야
도비는 자유를 찾아~!

더 이상 듣지 않을거야
이젠 내 맘대로 살아갈거야
갑갑한 목줄 벗어던지고
도비는 자유를 찾아서~!","['그만', '산책', '안되', '간식', '안되', '침대', '투정', '안되', '맘대로', '갑갑', '목줄', '벗어던지', '당당히', '뚜벅뚜벅', '그만하', '내가', '기다리', '엎드려', '맘대로', '도비', '자유', '맘대로', '살아가', '갑갑', '목줄', '벗어던지', '도비', '자유', '아서']"
27,"마음을 기울이면 보이는 소리-Finale (Feat. 김찬수,이운희)",강봄,we're dreamers!,"문득 세상이 어둡고 공허하다 느낄때
눈을 감고 나의 모습을 그려봐요
마음을 기울여 보세요 소리가 보일거예요
은밀한 소리를 볼 수 있죠
마음을 기울여 소리를 들어다봐요
우리 맘이 느낄 때 모든 걸 알수 있게 되죠
아주 작은 아이라 해도 그 누구보다 큰 꿈이 있죠
세상을 향해 한걸음씩~!
we’re dreamers
step forward
come together
꿈꾸는 이들아 모여라
we’re dreamers
step forward
come together
꿈꾸는 이들아 모여라
저 세상을 바라다보렴 아름답고 무한한 세상을
한계가 없는 너희의 미래가
바로 너희들의 바로 우리들의 미래
we’re dreamers
step forward
come together
we’re dreamers
step forward
come together
we’re dreamers
step forward
come together
꿈꾸는 이들아 모여라
we’re dreamers
step forward
come together
꿈꾸는 이들아 모여라","['문득', '세상', '어둡', '공허', '느끼', '모습', '그리', '아요', '마음', '기울이', '보세', '소리', '보이', '에요', '은밀', '소리', '마음', '기울이', '소리', '들어다보', '아요', '느끼', '모든', '아주', '어도', '보다', '세상', '향하', '한걸음', 'we', 're', 'dreamers', 'step', 'forward', 'come', 'together', '꿈꾸', '모이', 'we', 're', 'dreamers', 'step', 'forward', 'come', 'together', '꿈꾸', '모이', '세상', '바라다보', '아름', '무한', '세상', '한계', '미래', '미래', 'we', 're', 'dreamers', 'step', 'forward', 'come', 'together', 'we', 're', 'dreamers', 'step', 'forward', 'come', 'together', 'we', 're', 'dreamers', 'step', 'forward', 'come', 'together', '꿈꾸', '모이', 'we', 're', 'dreamers', 'step', 'forward', 'come', 'together', '꿈꾸', '모이']"
28,너의 날개,캐리와 친구들,캐리TV 감성 뮤지컬 벚꽃팝콘 OST,"긴 겨울이 지나면 따스한 봄이 오듯
움츠러든 어깨를 펴고 으쓱으쓱
용기를 내봐요

한걸음 또 한걸음
걸음을 걷다 보면
상큼상큼 뛰어가다
팔랑팔랑 날아갈지 몰라

네 맘속에
숨겨진 날개를 펼쳐
더 넓은 세상
밖으로 훨훨훨
날아올라 또 날아봐

안녕! 반가운 인사해요
파란 하늘이 반겨줘요
나비처럼 사뿐 날아서
훨훨 훨훨 높이 날아

자그마한 꽃씨들이
멀리 날아가 꽃이 되듯
네가 가진 고운 씨앗을
멀리멀리 퍼뜨려주길 바라

네 맘속에
숨겨진 날개를 펼쳐
더 넓은 세상
밖으로 훨훨훨
날아올라 또 날아봐

안녕! 반가운 봄이 왔죠
분홍 색깔의 벚꽃잎이
팝콘처럼 톡톡 터지죠
봄봄봄봄 봄이 왔죠

알록달록한 꽃잎들이
손을 흔들며 노래하죠
기분 좋은 달콤한 바람
선물 같은 봄날의 벚꽃 팝콘","['겨울', '지나', '따스', '움츠러들', '어깨', '으쓱으쓱', '용기', '내보', '아요', '한걸음', '한걸음', '걸음', '상큼상큼', '뛰어가', '팔랑팔랑', '날아가', 'ㄹ지', '몰르', '숨기', '날개', '펼치', '세상', '훨훨', '날아오르', '날으', '안녕', '반갑', '인사', '어요', '파랗', '하늘', '반기', '어요', '나비', '처럼', '사뿐', '날으', '아서', '훨훨', '훨훨', '높이', '날으', '자그마', '꽃씨', '멀리', '아가', '가지', '고운', '씨앗', '멀리', '멀리', '퍼뜨리', '바라', '숨기', '날개', '펼치', '세상', '훨훨', '날아오르', '날으', '안녕', '반갑', '분홍', '색깔', '벚꽃', '팝콘', '처럼', '톡톡', '터지', '알록달록', '꽃잎', '흔들', '노래', '기분', '달콤', '바람', '선물', '봄날', '벚꽃', '팝콘']"
29,해피버스데이 - 등굣길,백지원,이름 없는 편지부,"해피버스데이
우리 딸 생일 축하해
직접 얘기 못하고 가서 미안해
엄마가 출장이라
미역국 끓여뒀으니까 밥 꼭 먹고 나가고
새 학기니까 친구들 많이 사귀고
엄마한텐 꼭 얘기해줘야 해
알겠지
예은아 사랑해
엄마가
 
엄만 날 사랑하지만
내 옆에 있지는 않아
아빤 뭐
못 본 지 3년이 넘었던가
이젠 뭐
아무 느낌도 나질 않아
 
그리웠던 적이 있었나
기억도 안 날 만큼
아주 오래 전
아빠는 내게
원래 없던 사람 같아
엄마도 나에게는
반투명한 사람 같아
 
혼자 갔던 입학식
매일매일 조금씩
난 혼자가 되고 있는 걸 알았으니
 
더 이상 믿지 않아
어른들의 일 같은 건
다 자기 멋대로지
내가 아플 거란 생각도 안 할 테니
 
엄마 나 이젠
엄마 땜에 울지 않을래
그런 건 내게 어울리지 않아
오늘은 내 생일이니까
 
처음부터 다시 써
예은아 생일 축하해
오늘은 너의 날이니
세상에서 가장 행복하고
특별한 하루를 보내도록
세 가지 임무를 줄 테니
지키지 않으면 엄벌에 처함
그 임무는
 
첫 번째
평소엔 피해다니던 웅덩이를
일부러 밟아
이런 것쯤은 해줘야
 
두 번째
둘둘 말린 어깨를
기지개처럼 쭉 펴고 걸어봐
이런 것도 좀 해줘야
 
세 번째
오늘을 즐겨 너
하고 싶은 것들 다 해
하루쯤은 뭐든 괜찮아

편지 매년 똑같은 편지
내가 원한 건 진심으로 쓴
특별할 거 없는 편지
 
하루라도 진심으로 축하 받고 싶어
롤링페이퍼 말고
늦은 축하 말고
더이상 혼자 보내긴 싫어","['해피', '버스', '데이', '생일', '축하', '직접', '얘기', '못하', '아서', '미안', '엄마', '출장', '미역국', '끓이', '으니까', '나가', '니까', '친구', '많이', '사귀', '엄마', '얘기', '어야', '사랑', '엄마', '사랑', 'ㄴ가', '아무', '느낌', '그립', '적이', '있었', '기억', '아주', '오래', '아빠', '원래', '사람', '엄마', '반투명', '사람', '입학식', '매일', '매일', '조금씩', '으니', '어른', '멋대로', '내가', '아프', '생각', '엄마', '엄마', 'ㄹ지', '을래', '그런', '어울리', '오늘', '생일', '니까', '처음', '다시', '생일', '축하', '오늘', '세상', '가장', '행복', '특별', '하루', '보내', '도록', '가지', '임무', '지키', '으면', '엄벌', '처하', '임무', '번째', '평소', '피하', '다니', '웅덩이', '일부러', '이렇', '어야', '번째', '말리', '어깨', '기지', '처럼', '이렇', '어야', '번째', '오늘', '즐기', '하루쯤', '괜찮', '편지', '매년', '똑같', '편지', '내가', '원한', '진심', '특별', '편지', '하루', '라도', '진심', '축하', '롤링', '페이퍼', '축하', '더이상', '보내']"
30,너의 날개,루시 손은채,너의 날개 (루시 손은채) (뮤지컬 '벚꽃팝콘' 수록곡),"긴 겨울이 지나면 따스한 봄이 오듯
움츠러든 어깰 펴고 으쓱으쓱
용기를 내봐요

한걸음 또 한걸음
걸음을 걷다 보면
상큼상큼 뛰어가다
팔랑팔랑 날아갈지 몰라

네 맘속에
숨겨진 날개를 펼쳐

더 넓은 세상
밖으로 훨훨훨
날아올라 또 날아봐

안녕! 반가운 인사해요
파란 하늘이 반겨줘요
나비처럼 사뿐 날아서
훨훨훨훨 높이 날아

알록달록한 꽃씨들이
멀리 날아가 꽃이 되듯
네가 가진 고운 마음을
멀리멀리 퍼뜨려주길 바래

네 맘속에
숨겨진 날개를 펼쳐

더 넓은 세상
밖으로 훨훨훨
날아올라 또 날아봐

안녕! 반가운 봄이 왔죠
분홍 색깔의 벚꽃잎이
팝콘처럼 톡톡 터지죠
봄봄봄봄 봄이 왔죠

알록달록한 꽃잎들이
손을 흔들며 노래하죠
기분 좋은 달콤한 바람
선물 같은 봄날의 벚꽃 팝콘","['겨울', '지나', '따스', '움츠러들', '으쓱으쓱', '용기', '내보', '아요', '한걸음', '한걸음', '걸음', '상큼상큼', '뛰어가', '팔랑팔랑', '날아가', 'ㄹ지', '몰르', '숨기', '날개', '펼치', '세상', '훨훨', '날아오르', '날으', '안녕', '반갑', '인사', '어요', '파랗', '하늘', '반기', '어요', '나비', '처럼', '사뿐', '날으', '아서', '훨훨', '훨훨', '높이', '날으', '알록달록', '꽃씨', '멀리', '아가', '가지', '마음', '멀리', '멀리', '퍼뜨리', '바래', '맘속', '숨기', '날개', '펼치', '세상', '훨훨', '날아오르', '날으', '안녕', '반갑', '분홍', '색깔', '벚꽃', '팝콘', '처럼', '톡톡', '터지', '알록달록', '꽃잎', '흔들', '노래', '기분', '달콤', '바람', '선물', '봄날', '벚꽃', '팝콘']"
31,엎드리는 사랑,극단 대장부,뮤지컬 ‘상속자’ OST,"눈을 열어 우리들을 보세요
우리들의 믿음의 상속자가 되어주세요

나를 깨우는 주님의 음성
한 영혼 위한 간절한 기도
사망에서 생명으로 엎드리는 사랑의 온기

부활의 열매 고난의 결실
주님의 선물은 고난이죠
고난은 인생의 최고의 축복
엎드리는 사랑의 온기

사망에서 생명으로 나를 살리는
새생명 주신 주의 사랑
나를 살리신 그분을 찬양해
할렐루야 Hey!
오워 오오~ 나를 깨우는 주님의 음성
오워 오오~ 눈을 떠 눈을 뜨는지라
오워 오오~ 한 영혼 간절한 기도
오워 오오~ 눈을 떠 눈을 뜨는지라

사망에서 생명으로 나를 살리는
새생명 주신 주의 사랑
나를 살리신 그분을 찬양해
할렐루야 할렐루야 Hey!
오워 오오~ 나를 깨우는 주님의 음성
오워 오오~ 눈을 떠 눈을 뜨는지라
오워 오오~ 한 영혼 간절한 기도
오워 오오~ 눈을 떠 눈을 뜨는지라","['보세', '믿음', '상속자', '세요', '깨우', '음성', '영혼', '간절', '기도', '사망', '생명', '엎드리', '사랑', '온기', '부활', '열매', '고난', '결실', '선물', '고난', '고난', '인생', '최고', '축복', '엎드리', '사랑', '온기', '사망', '생명', '살리', '생명', '주신', '주의', '사랑', '나르', '살리신', '그분', '찬양', '할렐루야', 'Hey', '깨우', '음성', '는지라', '영혼', '간절', '기도', '는지라', '사망', '생명', '살리', '생명', '주신', '주의', '사랑', '나르', '살리신', '그분', '찬양', '할렐루야', '할렐루야', 'Hey', '깨우', '음성', '는지라', '영혼', '간절', '기도', '는지라']"
32,여자도 사람이다,제갈은주,"나혜석, 그녀 OST","방망이를 들어! (방망일 들어)
때 묻은 옷 들을 향해 힘껏 내리쳐라 (내리쳐라)

방망이로 때려 (방망일 때려)
지독하게 묻어있는 찌든 관념들을 (씻어내 버려)

내 온 힘 다해서 진심을 다해서 씻어내자
뚝딱뚝딱뚝다다닥닥 때 빠지는 소리
타닥타닥타다다닥닥 티끌 하나없이
뚝딱뚝딱뚝다다닥닥 반대로 뒤집어서 한번더
타닥타닥타다다닥닥 새하얀 이불 호청이 빛날때까지

우리는 이 시대의 (뚝딱다뚝따다뚝닥)
방망이가 되자 (찌든때를 벗겨라)
잘못된 편견들을 (타다닥타닥)
그냥두고 볼 순 없어 (씻어내자)
세상의 방망이가 되어 다시 태어나리라
뚝딱다뚝따다뚝닥 다시 태어나

남편의 아내 되기 전에 자녀의 어미 되기 전에
아비의 딸이기 전에 첫째로 사랑이라네

나는 사람이로세 나는 사람이로세 나는 사람이로세
나는 사람이로세 나는 사람이로세","['방망이', '망일', '향하', '힘껏', '내리치', '내리치', '방망이', '때리', '망일', '때리', '지독', '찌들', '관념', '버리', '다하', '어서', '진심', '다하', '어서', '뚝딱뚝딱', '다다', '닥닥', '빠지', '소리', '타닥타닥', '다다', '닥닥', '티끌', '없이', '뚝딱', '뚝딱', '다다', '닥닥', '반대', '뒤집', '어서', '한번', '타닥타닥', '다다', '닥닥', '새하얗', '이불', '호청', '빛나', '시대', '뚝딱', '방망이', '찌들', '벗기', '잘못되', '편견', '타다닥', '타닥', '그냥', '두고', '내자', '세상', '방망이', '다시', '태어나', '리라', '뚝딱', '다시', '태어나', '편의', '아내', '자녀', '어미', '아비', '첫째', '사랑', '라네', '사람', '로세', '사람', '로세', '사람', '로세', '사람', '로세', '사람', '로세']"
